7_z,8_z,9_z,10_z,11_z,176_z,timestamp,7_z,7_vx,8_z,8_vx,9_z,9_vx,10_z,10_vx,11_z,11_vx,176_z,176_vx
1.279651869071862,,,,,,,,,,,,,,,,,,
1.279651869071862,,,,,,,,0.0,,,,,,,,,,
1.279651869071862,,,,,,,,0.0,,,,,,,,,,
1.279651869071862,,,,,,,,0.0,,,,,,,,,,
1.279651869071862,,,,,,,,0.0,,,,,,,,,,
1.281829926032735,,,,,,,,0.0,,,,,,,,,,
1.281829926032735,,,,,,,,0.0,,,,,,,,,,
1.281829926032735,,,,,,,,0.0,,,,,,,,,,
1.281829926032735,,,,,,,,0.0,,,,,,,,,,
1.281829926032735,,1.3660433290744918,,,,,,0.0,,,,,,,,,,
1.281829926032735,,1.3689290003975625,,,,,,0.0,,,,4.25,,,,,,
1.281829926032735,,1.3716062907540991,,,,,,0.0,,,,1.5,,,,,,
1.281829926032735,,1.3716062907540991,,,,,,0.0,,,,0.0,,,,,,
1.281829926032735,,1.3716062907540991,,,,,,0.0,,,,0.0,,,,,,
1.281829926032735,,1.3716062907540991,,,,,,0.0,,,,0.0,,,,,,
1.281829926032735,,1.3716062907540991,,,,,,0.0,,,,0.0,,,,,,
1.281829926032735,,1.3716062907540991,,,,,,0.0,,,,0.0,,,,,,
1.281829926032735,,1.3723189356160526,,,,,,0.0,,,,0.0,,,,,,
1.281829926032735,,1.3716062907540991,,,,,,0.0,,,,0.0,,,,,,
1.279651869071862,,1.3716062907540991,,,,,,0.0,,,,0.0,,,,,,
1.279651869071862,,1.3716062907540991,,,,,,0.0,,,,0.0,,,,,,
1.2784334229903542,,1.3716062907540991,,,,,,0.25,,,,0.0,,,,,,
1.2784334229903542,,1.3716062907540991,,,,,,0.0,,,,0.0,,,,,,
1.2784334229903542,,1.3716062907540991,,,,,,0.0,,,,0.0,,,,,,
1.2784334229903542,,1.3716062907540991,,,,,,0.0,,,,0.0,,,,,,
1.2784334229903542,,1.3716062907540991,,,,,,0.0,,,,0.0,,,,,,
1.2784334229903542,,1.3668950072273776,,,,,,0.0,,,,0.0,,,,,,
1.2784334229903542,,1.3716062907540991,,,,,,0.0,,,,0.0,,,,,,
1.2784334229903542,,1.3723189356160526,,,,,,0.0,,,,0.0,,,,,,
1.2784334229903542,,1.3723189356160526,,,,,,0.0,,,,0.0,,,,,,
1.279651869071862,,1.3716062907540991,,,,,,0.25,,,,0.0,,,,,,
